competencia,conta,orcado,realizado
2026-01,Caixa e equivalentes,500000,486200
2026-01,Contas a receber,780000,812400
2026-01,Estoques,410000,438900
2026-01,Ativo circulante,1690000,1737500
2026-01,Imobilizado,2200000,2200000
2026-01,Ativo total,3890000,3937500
2026-01,Fornecedores,395000,412800
2026-01,Emprestimos curto prazo,300000,300000
2026-01,Passivo circulante,695000,712800
2026-01,Emprestimos longo prazo,900000,900000
2026-01,Patrimonio liquido,2295000,2324700
2026-01,Passivo total,3890000,3937500
