empresa,setor,competencia,conta,orcado,realizado
Construtora Horizonte,Construção Civil,2025-01,Caixa e equivalentes,1353672.36,1402336.54
Construtora Horizonte,Construção Civil,2025-01,Contas a receber,8500000.0,8551801.9
Construtora Horizonte,Construção Civil,2025-01,Estoques,7700000.0,7539842.45
Construtora Horizonte,Construção Civil,2025-01,Impostos a recuperar,90000.0,90548.49
Construtora Horizonte,Construção Civil,2025-01,Ativo circulante,17643672.36,17584529.38
Construtora Horizonte,Construção Civil,2025-01,Imobilizado,8000000.0,8000000.0
Construtora Horizonte,Construção Civil,2025-01,Intangível,500000.0,500000.0
Construtora Horizonte,Construção Civil,2025-01,Ativo não circulante,8500000.0,8500000.0
Construtora Horizonte,Construção Civil,2025-01,Ativo total,26143672.36,26084529.38
Construtora Horizonte,Construção Civil,2025-01,Fornecedores,3850000.0,3769921.22
Construtora Horizonte,Construção Civil,2025-01,Empréstimos CP,3000000.0,3000000.0
Construtora Horizonte,Construção Civil,2025-01,Obrigações trabalhistas,45000.0,45675.41
Construtora Horizonte,Construção Civil,2025-01,Obrigações tributárias,150000.0,150914.15
Construtora Horizonte,Construção Civil,2025-01,Passivo circulante,7045000.0,6966510.78
Construtora Horizonte,Construção Civil,2025-01,Empréstimos LP,6000000.0,6000000.0
Construtora Horizonte,Construção Civil,2025-01,Passivo não circulante,6000000.0,6000000.0
Construtora Horizonte,Construção Civil,2025-01,Patrimônio líquido,13098672.36,13118018.6
Construtora Horizonte,Construção Civil,2025-01,Passivo total,26143672.36,26084529.38
Construtora Horizonte,Construção Civil,2025-02,Caixa e equivalentes,1565954.85,1558334.4
Construtora Horizonte,Construção Civil,2025-02,Contas a receber,8568000.0,8589906.73
Construtora Horizonte,Construção Civil,2025-02,Estoques,7761600.0,7712509.03
Construtora Horizonte,Construção Civil,2025-02,Impostos a recuperar,90720.0,90951.95
Construtora Horizonte,Construção Civil,2025-02,Ativo circulante,17986274.85,17951702.11
Construtora Horizonte,Construção Civil,2025-02,Imobilizado,8000000.0,8000000.0
Construtora Horizonte,Construção Civil,2025-02,Intangível,500000.0,500000.0
Construtora Horizonte,Construção Civil,2025-02,Ativo não circulante,8500000.0,8500000.0
Construtora Horizonte,Construção Civil,2025-02,Ativo total,26486274.85,26451702.11
Construtora Horizonte,Construção Civil,2025-02,Fornecedores,3880800.0,3856254.51
Construtora Horizonte,Construção Civil,2025-02,Empréstimos CP,3000000.0,3000000.0
Construtora Horizonte,Construção Civil,2025-02,Obrigações trabalhistas,45360.0,45344.76
Construtora Horizonte,Construção Civil,2025-02,Obrigações tributárias,151200.0,151586.59
Construtora Horizonte,Construção Civil,2025-02,Passivo circulante,7077360.0,7053185.86
Construtora Horizonte,Construção Civil,2025-02,Empréstimos LP,6000000.0,6000000.0
Construtora Horizonte,Construção Civil,2025-02,Passivo não circulante,6000000.0,6000000.0
Construtora Horizonte,Construção Civil,2025-02,Patrimônio líquido,13408914.85,13398516.25
Construtora Horizonte,Construção Civil,2025-02,Passivo total,26486274.85,26451702.11
Construtora Horizonte,Construção Civil,2025-03,Caixa e equivalentes,1527656.31,1428083.8
Construtora Horizonte,Construção Civil,2025-03,Contas a receber,8636544.0,8647949.54
Construtora Horizonte,Construção Civil,2025-03,Estoques,7823692.8,8000076.58
Construtora Horizonte,Construção Civil,2025-03,Impostos a recuperar,91445.76,91566.52
Construtora Horizonte,Construção Civil,2025-03,Ativo circulante,18079338.87,18167676.45
Construtora Horizonte,Construção Civil,2025-03,Imobilizado,8000000.0,8000000.0
Construtora Horizonte,Construção Civil,2025-03,Intangível,500000.0,500000.0
Construtora Horizonte,Construção Civil,2025-03,Ativo não circulante,8500000.0,8500000.0
Construtora Horizonte,Construção Civil,2025-03,Ativo total,26579338.87,26667676.45
Construtora Horizonte,Construção Civil,2025-03,Fornecedores,3911846.4,4000038.29
Construtora Horizonte,Construção Civil,2025-03,Empréstimos CP,3000000.0,3000000.0
Construtora Horizonte,Construção Civil,2025-03,Obrigações trabalhistas,45722.88,46150.4
Construtora Horizonte,Construção Civil,2025-03,Obrigações tributárias,152409.6,152610.87
Construtora Horizonte,Construção Civil,2025-03,Passivo circulante,7109978.88,7198799.56
Construtora Horizonte,Construção Civil,2025-03,Empréstimos LP,6000000.0,6000000.0
Construtora Horizonte,Construção Civil,2025-03,Passivo não circulante,6000000.0,6000000.0
Construtora Horizonte,Construção Civil,2025-03,Patrimônio líquido,13469359.99,13468876.89
Construtora Horizonte,Construção Civil,2025-03,Passivo total,26579338.87,26667676.45
Construtora Horizonte,Construção Civil,2025-04,Caixa e equivalentes,1591690.6,1488410.29
Construtora Horizonte,Construção Civil,2025-04,Contas a receber,8705636.35,8858585.73
Construtora Horizonte,Construção Civil,2025-04,Estoques,7886282.34,7878407.75
Construtora Horizonte,Construção Civil,2025-04,Impostos a recuperar,92177.33,93796.79
Construtora Horizonte,Construção Civil,2025-04,Ativo circulante,18275786.62,18319200.55
Construtora Horizonte,Construção Civil,2025-04,Imobilizado,8000000.0,8000000.0
Construtora Horizonte,Construção Civil,2025-04,Intangível,500000.0,500000.0
Construtora Horizonte,Construção Civil,2025-04,Ativo não circulante,8500000.0,8500000.0
Construtora Horizonte,Construção Civil,2025-04,Ativo total,26775786.62,26819200.55
Construtora Horizonte,Construção Civil,2025-04,Fornecedores,3943141.17,3939203.87
Construtora Horizonte,Construção Civil,2025-04,Empréstimos CP,3000000.0,3000000.0
Construtora Horizonte,Construção Civil,2025-04,Obrigações trabalhistas,46088.66,45918.26
Construtora Horizonte,Construção Civil,2025-04,Obrigações tributárias,153628.88,156327.98
Construtora Horizonte,Construção Civil,2025-04,Passivo circulante,7142858.71,7141450.12
Construtora Horizonte,Construção Civil,2025-04,Empréstimos LP,6000000.0,6000000.0
Construtora Horizonte,Construção Civil,2025-04,Passivo não circulante,6000000.0,6000000.0
