empresa,setor,competencia,conta,orcado,realizado
FluxoData,SaaS / Tech,2025-01,Caixa e equivalentes,2446593.42,2519817.46
FluxoData,SaaS / Tech,2025-01,Contas a receber,960000.0,942346.52
FluxoData,SaaS / Tech,2025-01,Estoques,12000.0,12119.32
FluxoData,SaaS / Tech,2025-01,Impostos a recuperar,27000.0,26503.5
FluxoData,SaaS / Tech,2025-01,Ativo circulante,3445593.42,3500786.79
FluxoData,SaaS / Tech,2025-01,Imobilizado,1200000.0,1200000.0
FluxoData,SaaS / Tech,2025-01,Intangível,2500000.0,2500000.0
FluxoData,SaaS / Tech,2025-01,Ativo não circulante,3700000.0,3700000.0
FluxoData,SaaS / Tech,2025-01,Ativo total,7145593.42,7200786.79
FluxoData,SaaS / Tech,2025-01,Fornecedores,168000.0,169670.46
FluxoData,SaaS / Tech,2025-01,Empréstimos CP,300000.0,300000.0
FluxoData,SaaS / Tech,2025-01,Obrigações trabalhistas,48600.0,48738.44
FluxoData,SaaS / Tech,2025-01,Obrigações tributárias,45000.0,44172.49
FluxoData,SaaS / Tech,2025-01,Passivo circulante,561600.0,562581.39
FluxoData,SaaS / Tech,2025-01,Empréstimos LP,800000.0,800000.0
FluxoData,SaaS / Tech,2025-01,Passivo não circulante,800000.0,800000.0
FluxoData,SaaS / Tech,2025-01,Patrimônio líquido,5783993.42,5838205.4
FluxoData,SaaS / Tech,2025-01,Passivo total,7145593.42,7200786.79
FluxoData,SaaS / Tech,2025-02,Caixa e equivalentes,2454618.27,2452282.76
FluxoData,SaaS / Tech,2025-02,Contas a receber,979200.0,991451.56
FluxoData,SaaS / Tech,2025-02,Estoques,12240.0,12164.27
FluxoData,SaaS / Tech,2025-02,Impostos a recuperar,27540.0,27884.58
FluxoData,SaaS / Tech,2025-02,Ativo circulante,3473598.27,3483783.17
FluxoData,SaaS / Tech,2025-02,Imobilizado,1200000.0,1200000.0
FluxoData,SaaS / Tech,2025-02,Intangível,2500000.0,2500000.0
FluxoData,SaaS / Tech,2025-02,Ativo não circulante,3700000.0,3700000.0
FluxoData,SaaS / Tech,2025-02,Ativo total,7173598.27,7183783.17
FluxoData,SaaS / Tech,2025-02,Fornecedores,171360.0,170299.81
FluxoData,SaaS / Tech,2025-02,Empréstimos CP,300000.0,300000.0
FluxoData,SaaS / Tech,2025-02,Obrigações trabalhistas,49572.0,50024.87
FluxoData,SaaS / Tech,2025-02,Obrigações tributárias,45900.0,46474.29
FluxoData,SaaS / Tech,2025-02,Passivo circulante,566832.0,566798.96
FluxoData,SaaS / Tech,2025-02,Empréstimos LP,800000.0,800000.0
FluxoData,SaaS / Tech,2025-02,Passivo não circulante,800000.0,800000.0
FluxoData,SaaS / Tech,2025-02,Patrimônio líquido,5806766.27,5816984.21
FluxoData,SaaS / Tech,2025-02,Passivo total,7173598.27,7183783.17
