empresa,setor,competencia,conta,orcado,realizado
Rede BomPreço,Varejo,2025-01,Caixa e equivalentes,1895938.22,1814134.37
Rede BomPreço,Varejo,2025-01,Contas a receber,3960000.0,3895615.07
Rede BomPreço,Varejo,2025-01,Estoques,5616000.0,5569347.07
Rede BomPreço,Varejo,2025-01,Impostos a recuperar,162000.0,159366.07
Rede BomPreço,Varejo,2025-01,Ativo circulante,11633938.22,11438462.58
Rede BomPreço,Varejo,2025-01,Imobilizado,5000000.0,5000000.0
Rede BomPreço,Varejo,2025-01,Intangível,300000.0,300000.0
Rede BomPreço,Varejo,2025-01,Ativo não circulante,5300000.0,5300000.0
Rede BomPreço,Varejo,2025-01,Ativo total,16933938.22,16738462.58
Rede BomPreço,Varejo,2025-01,Fornecedores,4914000.0,4873178.69
Rede BomPreço,Varejo,2025-01,Empréstimos CP,2500000.0,2500000.0
Rede BomPreço,Varejo,2025-01,Obrigações trabalhistas,129600.0,128013.45
Rede BomPreço,Varejo,2025-01,Obrigações tributárias,270000.0,265610.12
Rede BomPreço,Varejo,2025-01,Passivo circulante,7813600.0,7766802.25
Rede BomPreço,Varejo,2025-01,Empréstimos LP,4000000.0,4000000.0
Rede BomPreço,Varejo,2025-01,Passivo não circulante,4000000.0,4000000.0
Rede BomPreço,Varejo,2025-01,Patrimônio líquido,5120338.22,4971660.33
Rede BomPreço,Varejo,2025-01,Passivo total,16933938.22,16738462.58
Rede BomPreço,Varejo,2025-02,Caixa e equivalentes,1795159.57,1959113.69
Rede BomPreço,Varejo,2025-02,Contas a receber,3758700.0,3746774.78
Rede BomPreço,Varejo,2025-02,Estoques,5330520.0,5220108.54
Rede BomPreço,Varejo,2025-02,Impostos a recuperar,153765.0,153277.15
Rede BomPreço,Varejo,2025-02,Ativo circulante,11038144.57,11079274.17
Rede BomPreço,Varejo,2025-02,Imobilizado,5000000.0,5000000.0
Rede BomPreço,Varejo,2025-02,Intangível,300000.0,300000.0
Rede BomPreço,Varejo,2025-02,Ativo não circulante,5300000.0,5300000.0
Rede BomPreço,Varejo,2025-02,Ativo total,16338144.57,16379274.17
Rede BomPreço,Varejo,2025-02,Fornecedores,4664205.0,4567594.97
Rede BomPreço,Varejo,2025-02,Empréstimos CP,2500000.0,2500000.0
Rede BomPreço,Varejo,2025-02,Obrigações trabalhistas,123012.0,118891.88
Rede BomPreço,Varejo,2025-02,Obrigações tributárias,256275.0,255461.92
Rede BomPreço,Varejo,2025-02,Passivo circulante,7543492.0,7441948.77
Rede BomPreço,Varejo,2025-02,Empréstimos LP,4000000.0,4000000.0
Rede BomPreço,Varejo,2025-02,Passivo não circulante,4000000.0,4000000.0
Rede BomPreço,Varejo,2025-02,Patrimônio líquido,4794652.57,4937325.4
Rede BomPreço,Varejo,2025-02,Passivo total,16338144.57,16379274.17
Rede BomPreço,Varejo,2025-03,Caixa e equivalentes,1713139.49,1734729.65
Rede BomPreço,Varejo,2025-03,Contas a receber,4221904.5,4232904.63
Rede BomPreço,Varejo,2025-03,Estoques,5987428.2,6105109.85
Rede BomPreço,Varejo,2025-03,Impostos a recuperar,172714.27,173164.28
Rede BomPreço,Varejo,2025-03,Ativo circulante,12095186.47,12245908.41
Rede BomPreço,Varejo,2025-03,Imobilizado,5000000.0,5000000.0
Rede BomPreço,Varejo,2025-03,Intangível,300000.0,300000.0
Rede BomPreço,Varejo,2025-03,Ativo não circulante,5300000.0,5300000.0
Rede BomPreço,Varejo,2025-03,Ativo total,17395186.47,17545908.41
Rede BomPreço,Varejo,2025-03,Fornecedores,5238999.67,5341971.11
Rede BomPreço,Varejo,2025-03,Empréstimos CP,2500000.0,2500000.0
Rede BomPreço,Varejo,2025-03,Obrigações trabalhistas,138171.42,136791.65
Rede BomPreço,Varejo,2025-03,Obrigações tributárias,287857.12,288607.13
Rede BomPreço,Varejo,2025-03,Passivo circulante,8165028.22,8267369.9
Rede BomPreço,Varejo,2025-03,Empréstimos LP,4000000.0,4000000.0
Rede BomPreço,Varejo,2025-03,Passivo não circulante,4000000.0,4000000.0
Rede BomPreço,Varejo,2025-03,Patrimônio líquido,5230158.25,5278538.51
Rede BomPreço,Varejo,2025-03,Passivo total,17395186.47,17545908.41
Rede BomPreço,Varejo,2025-04,Caixa e equivalentes,1883841.57,1834645.59
Rede BomPreço,Varejo,2025-04,Contas a receber,4466330.55,4656459.54
Rede BomPreço,Varejo,2025-04,Estoques,6334068.78,6230014.39
Rede BomPreço,Varejo,2025-04,Impostos a recuperar,182713.52,190491.53
Rede BomPreço,Varejo,2025-04,Ativo circulante,12866954.42,12911611.04
Rede BomPreço,Varejo,2025-04,Imobilizado,5000000.0,5000000.0
Rede BomPreço,Varejo,2025-04,Intangível,300000.0,300000.0
Rede BomPreço,Varejo,2025-04,Ativo não circulante,5300000.0,5300000.0
Rede BomPreço,Varejo,2025-04,Ativo total,18166954.42,18211611.04
Rede BomPreço,Varejo,2025-04,Fornecedores,5542310.18,5451262.59
Rede BomPreço,Varejo,2025-04,Empréstimos CP,2500000.0,2500000.0
Rede BomPreço,Varejo,2025-04,Obrigações trabalhistas,146170.82,148622.07
Rede BomPreço,Varejo,2025-04,Obrigações tributárias,304522.54,317485.88
Rede BomPreço,Varejo,2025-04,Passivo circulante,8493003.54,8417370.54
Rede BomPreço,Varejo,2025-04,Empréstimos LP,4000000.0,4000000.0
Rede BomPreço,Varejo,2025-04,Passivo não circulante,4000000.0,4000000.0
Rede BomPreço,Varejo,2025-04,Patrimônio líquido,5673950.89,5794240.5
Rede BomPreço,Varejo,2025-04,Passivo total,18166954.42,18211611.04
Rede BomPreço,Varejo,2025-05,Caixa e equivalentes,1759051.49,1689695.48
Rede BomPreço,Varejo,2025-05,Contas a receber,4488662.2,4474600.31
Rede BomPreço,Varejo,2025-05,Estoques,6365739.12,6360549.45
