empresa,setor,competencia,conta,orcado,realizado
Construtora Horizonte,Construção Civil,2025-01,Receita Líquida,3000000.0,3018283.02
Construtora Horizonte,Construção Civil,2025-01,CMV,2100000.0,2056320.67
Construtora Horizonte,Construção Civil,2025-01,Lucro Bruto,900000.0,961962.36
Construtora Horizonte,Construção Civil,2025-01,Despesas Comerciais,150000.0,152251.35
Construtora Horizonte,Construção Civil,2025-01,Despesas Administrativas,300000.0,305643.39
Construtora Horizonte,Construção Civil,2025-01,EBITDA,450000.0,504067.62
Construtora Horizonte,Construção Civil,2025-02,Receita Líquida,3024000.0,3031731.79
Construtora Horizonte,Construção Civil,2025-02,CMV,2116800.0,2103411.55
Construtora Horizonte,Construção Civil,2025-02,Lucro Bruto,907200.0,928320.23
Construtora Horizonte,Construção Civil,2025-02,Despesas Comerciais,151200.0,151149.19
Construtora Horizonte,Construção Civil,2025-02,Despesas Administrativas,300000.0,294881.74
Construtora Horizonte,Construção Civil,2025-02,EBITDA,456000.0,482289.3
Construtora Horizonte,Construção Civil,2025-03,Receita Líquida,3048192.0,3052217.48
Construtora Horizonte,Construção Civil,2025-03,CMV,2133734.4,2181839.07
Construtora Horizonte,Construção Civil,2025-03,Lucro Bruto,914457.6,870378.42
Construtora Horizonte,Construção Civil,2025-03,Despesas Comerciais,152409.6,153834.66
Construtora Horizonte,Construção Civil,2025-03,Despesas Administrativas,300000.0,294844.25
Construtora Horizonte,Construção Civil,2025-03,EBITDA,462048.0,421699.51
Construtora Horizonte,Construção Civil,2025-04,Receita Líquida,3072577.54,3126559.67
Construtora Horizonte,Construção Civil,2025-04,CMV,2150804.28,2148656.66
Construtora Horizonte,Construção Civil,2025-04,Lucro Bruto,921773.26,977903.01
Construtora Horizonte,Construção Civil,2025-04,Despesas Comerciais,153628.88,153060.87
Construtora Horizonte,Construção Civil,2025-04,Despesas Administrativas,300000.0,295914.42
Construtora Horizonte,Construção Civil,2025-04,EBITDA,468144.38,528927.72
Construtora Horizonte,Construção Civil,2025-05,Receita Líquida,3097158.16,3070626.18
Construtora Horizonte,Construção Civil,2025-05,CMV,2168010.71,2152742.12
Construtora Horizonte,Construção Civil,2025-05,Lucro Bruto,929147.45,917884.05
Construtora Horizonte,Construção Civil,2025-05,Despesas Comerciais,154857.91,156506.55
Construtora Horizonte,Construção Civil,2025-05,Despesas Administrativas,300000.0,302192.66
Construtora Horizonte,Construção Civil,2025-05,EBITDA,474289.54,459184.83
Construtora Horizonte,Construção Civil,2025-06,Receita Líquida,3121935.42,3255657.13
