empresa,setor,competencia,conta,orcado,realizado
FluxoData,SaaS / Tech,2025-01,Receita Líquida,900000.0,883449.86
FluxoData,SaaS / Tech,2025-01,CMV,180000.0,181789.78
FluxoData,SaaS / Tech,2025-01,Lucro Bruto,720000.0,701660.08
FluxoData,SaaS / Tech,2025-01,Despesas Comerciais,162000.0,162461.46
FluxoData,SaaS / Tech,2025-01,Despesas Administrativas,108000.0,109491.45
FluxoData,SaaS / Tech,2025-01,EBITDA,450000.0,429707.17
FluxoData,SaaS / Tech,2025-02,Receita Líquida,918000.0,929485.84
FluxoData,SaaS / Tech,2025-02,CMV,183600.0,182464.08
FluxoData,SaaS / Tech,2025-02,Lucro Bruto,734400.0,747021.76
FluxoData,SaaS / Tech,2025-02,Despesas Comerciais,165240.0,166749.55
FluxoData,SaaS / Tech,2025-02,Despesas Administrativas,108000.0,106570.24
FluxoData,SaaS / Tech,2025-02,EBITDA,461160.0,473701.97
FluxoData,SaaS / Tech,2025-03,Receita Líquida,936360.0,913965.27
FluxoData,SaaS / Tech,2025-03,CMV,187272.0,189095.93
FluxoData,SaaS / Tech,2025-03,Lucro Bruto,749088.0,724869.35
FluxoData,SaaS / Tech,2025-03,Despesas Comerciais,168544.8,166962.49
FluxoData,SaaS / Tech,2025-03,Despesas Administrativas,108000.0,108026.99
FluxoData,SaaS / Tech,2025-03,EBITDA,472543.2,449879.86
FluxoData,SaaS / Tech,2025-04,Receita Líquida,955087.2,967797.22
FluxoData,SaaS / Tech,2025-04,CMV,191017.44,190641.19
FluxoData,SaaS / Tech,2025-04,Lucro Bruto,764069.76,777156.02
FluxoData,SaaS / Tech,2025-04,Despesas Comerciais,171915.7,170460.26
FluxoData,SaaS / Tech,2025-04,Despesas Administrativas,108000.0,107827.81
FluxoData,SaaS / Tech,2025-04,EBITDA,484154.06,498867.95
FluxoData,SaaS / Tech,2025-05,Receita Líquida,974188.94,948417.76
FluxoData,SaaS / Tech,2025-05,CMV,194837.79,190951.76
FluxoData,SaaS / Tech,2025-05,Lucro Bruto,779351.16,757466.0
FluxoData,SaaS / Tech,2025-05,Despesas Comerciais,175354.01,176756.05
FluxoData,SaaS / Tech,2025-05,Despesas Administrativas,108000.0,106044.17
FluxoData,SaaS / Tech,2025-05,EBITDA,495997.15,474665.78
FluxoData,SaaS / Tech,2025-06,Receita Líquida,993672.72,986592.53
FluxoData,SaaS / Tech,2025-06,CMV,198734.54,201665.94
FluxoData,SaaS / Tech,2025-06,Lucro Bruto,794938.18,784926.59
FluxoData,SaaS / Tech,2025-06,Despesas Comerciais,178861.09,175521.33
FluxoData,SaaS / Tech,2025-06,Despesas Administrativas,108000.0,107556.25
FluxoData,SaaS / Tech,2025-06,EBITDA,508077.09,501849.0
FluxoData,SaaS / Tech,2025-07,Receita Líquida,1013546.18,1030580.0
FluxoData,SaaS / Tech,2025-07,CMV,202709.24,195706.36
FluxoData,SaaS / Tech,2025-07,Lucro Bruto,810836.94,834873.64
FluxoData,SaaS / Tech,2025-07,Despesas Comerciais,182438.31,184023.42
FluxoData,SaaS / Tech,2025-07,Despesas Administrativas,108000.0,108513.51
FluxoData,SaaS / Tech,2025-07,EBITDA,520398.63,542336.71
FluxoData,SaaS / Tech,2025-08,Receita Líquida,1033817.1,1035308.48
FluxoData,SaaS / Tech,2025-08,CMV,206763.42,204573.83
FluxoData,SaaS / Tech,2025-08,Lucro Bruto,827053.68,830734.65
FluxoData,SaaS / Tech,2025-08,Despesas Comerciais,186087.08,186953.04
FluxoData,SaaS / Tech,2025-08,Despesas Administrativas,108000.0,108047.2
FluxoData,SaaS / Tech,2025-08,EBITDA,532966.6,535734.41
FluxoData,SaaS / Tech,2025-09,Receita Líquida,1054493.44,908959.05
FluxoData,SaaS / Tech,2025-09,CMV,210898.69,211654.87
FluxoData,SaaS / Tech,2025-09,Lucro Bruto,843594.75,697304.18
FluxoData,SaaS / Tech,2025-09,Despesas Comerciais,189808.82,228772.76
FluxoData,SaaS / Tech,2025-09,Despesas Administrativas,108000.0,110935.85
FluxoData,SaaS / Tech,2025-09,EBITDA,545785.93,357595.58
FluxoData,SaaS / Tech,2025-10,Receita Líquida,1075583.31,1107061.4
FluxoData,SaaS / Tech,2025-10,CMV,215116.66,210002.21
FluxoData,SaaS / Tech,2025-10,Lucro Bruto,860466.65,897059.19
FluxoData,SaaS / Tech,2025-10,Despesas Comerciais,193605.0,191127.81
FluxoData,SaaS / Tech,2025-10,Despesas Administrativas,108000.0,105998.6
FluxoData,SaaS / Tech,2025-10,EBITDA,558861.65,599932.78
FluxoData,SaaS / Tech,2025-11,Receita Líquida,1097094.98,1111031.4
FluxoData,SaaS / Tech,2025-11,CMV,219419.0,218443.8
FluxoData,SaaS / Tech,2025-11,Lucro Bruto,877675.98,892587.6
FluxoData,SaaS / Tech,2025-11,Despesas Comerciais,197477.1,191668.08
FluxoData,SaaS / Tech,2025-11,Despesas Administrativas,108000.0,105806.35
FluxoData,SaaS / Tech,2025-11,EBITDA,572198.89,595113.16
FluxoData,SaaS / Tech,2025-12,Receita Líquida,1119036.88,1163725.19
FluxoData,SaaS / Tech,2025-12,CMV,223807.38,236850.25
FluxoData,SaaS / Tech,2025-12,Lucro Bruto,895229.5,926874.93
FluxoData,SaaS / Tech,2025-12,Despesas Comerciais,201426.64,203096.1
FluxoData,SaaS / Tech,2025-12,Despesas Administrativas,108000.0,105862.6
FluxoData,SaaS / Tech,2025-12,EBITDA,585802.86,617916.24
