empresa,setor,competencia,conta,orcado,realizado
Rede BomPreço,Varejo,2025-01,Receita Líquida,5400000.0,5312202.36
Rede BomPreço,Varejo,2025-01,CMV,3510000.0,3480841.92
Rede BomPreço,Varejo,2025-01,Lucro Bruto,1890000.0,1831360.44
Rede BomPreço,Varejo,2025-01,Despesas Comerciais,432000.0,426711.48
Rede BomPreço,Varejo,2025-01,Despesas Administrativas,420000.0,418817.36
Rede BomPreço,Varejo,2025-01,EBITDA,1038000.0,985831.6
Rede BomPreço,Varejo,2025-02,Receita Líquida,5125500.0,5109238.34
Rede BomPreço,Varejo,2025-02,CMV,3331575.0,3262567.84
Rede BomPreço,Varejo,2025-02,Lucro Bruto,1793925.0,1846670.51
Rede BomPreço,Varejo,2025-02,Despesas Comerciais,410040.0,396306.26
Rede BomPreço,Varejo,2025-02,Despesas Administrativas,420000.0,415915.01
Rede BomPreço,Varejo,2025-02,EBITDA,963885.0,1034449.23
Rede BomPreço,Varejo,2025-03,Receita Líquida,5757142.5,5772142.68
Rede BomPreço,Varejo,2025-03,CMV,3742142.62,3815693.65
Rede BomPreço,Varejo,2025-03,Lucro Bruto,2014999.87,1956449.03
Rede BomPreço,Varejo,2025-03,Despesas Comerciais,460571.4,455972.17
Rede BomPreço,Varejo,2025-03,Despesas Administrativas,420000.0,410046.47
Rede BomPreço,Varejo,2025-03,EBITDA,1134428.47,1090430.38
Rede BomPreço,Varejo,2025-04,Receita Líquida,6090450.75,6349717.55
Rede BomPreço,Varejo,2025-04,CMV,3958792.99,3893758.99
Rede BomPreço,Varejo,2025-04,Lucro Bruto,2131657.76,2455958.56
Rede BomPreço,Varejo,2025-04,Despesas Comerciais,487236.06,495406.9
Rede BomPreço,Varejo,2025-04,Despesas Administrativas,420000.0,412415.41
Rede BomPreço,Varejo,2025-04,EBITDA,1224421.7,1548136.25
Rede BomPreço,Varejo,2025-05,Receita Líquida,6120903.0,6101727.7
Rede BomPreço,Varejo,2025-05,CMV,3978586.95,3975343.41
Rede BomPreço,Varejo,2025-05,Lucro Bruto,2142316.05,2126384.29
Rede BomPreço,Varejo,2025-05,Despesas Comerciais,489672.24,483259.61
Rede BomPreço,Varejo,2025-05,Despesas Administrativas,420000.0,423747.01
Rede BomPreço,Varejo,2025-05,EBITDA,1232643.81,1219377.67
Rede BomPreço,Varejo,2025-06,Receita Líquida,6151507.52,5994282.67
Rede BomPreço,Varejo,2025-06,CMV,3998479.89,4012281.67
Rede BomPreço,Varejo,2025-06,Lucro Bruto,2153027.63,1982000.99
Rede BomPreço,Varejo,2025-06,Despesas Comerciais,492120.6,507662.67
Rede BomPreço,Varejo,2025-06,Despesas Administrativas,420000.0,421343.93
Rede BomPreço,Varejo,2025-06,EBITDA,1240907.03,1052994.4
Rede BomPreço,Varejo,2025-07,Receita Líquida,6182265.06,6343746.03
Rede BomPreço,Varejo,2025-07,CMV,4018472.29,4036103.94
Rede BomPreço,Varejo,2025-07,Lucro Bruto,2163792.77,2307642.1
Rede BomPreço,Varejo,2025-07,Despesas Comerciais,494581.2,490516.47
Rede BomPreço,Varejo,2025-07,Despesas Administrativas,420000.0,429292.83
Rede BomPreço,Varejo,2025-07,EBITDA,1249211.57,1387832.81
Rede BomPreço,Varejo,2025-08,Receita Líquida,6213176.38,6235945.74
Rede BomPreço,Varejo,2025-08,CMV,4038564.65,3939662.7
Rede BomPreço,Varejo,2025-08,Lucro Bruto,2174611.73,2296283.04
Rede BomPreço,Varejo,2025-08,Despesas Comerciais,497054.11,483453.13
Rede BomPreço,Varejo,2025-08,Despesas Administrativas,420000.0,433867.79
Rede BomPreço,Varejo,2025-08,EBITDA,1257557.62,1378962.12
Rede BomPreço,Varejo,2025-09,Receita Líquida,6244242.26,6196387.97
Rede BomPreço,Varejo,2025-09,CMV,4058757.47,4177390.43
Rede BomPreço,Varejo,2025-09,Lucro Bruto,2185484.79,2018997.54
Rede BomPreço,Varejo,2025-09,Despesas Comerciais,499539.38,488479.12
Rede BomPreço,Varejo,2025-09,Despesas Administrativas,420000.0,412484.29
Rede BomPreço,Varejo,2025-09,EBITDA,1265945.41,1118034.13
Rede BomPreço,Varejo,2025-10,Receita Líquida,6589236.65,6588561.66
Rede BomPreço,Varejo,2025-10,CMV,4283003.82,4269003.29
Rede BomPreço,Varejo,2025-10,Lucro Bruto,2306232.83,2319558.37
Rede BomPreço,Varejo,2025-10,Despesas Comerciais,527138.93,530697.91
Rede BomPreço,Varejo,2025-10,Despesas Administrativas,420000.0,431822.85
Rede BomPreço,Varejo,2025-10,EBITDA,1359093.9,1357037.62
Rede BomPreço,Varejo,2025-11,Receita Líquida,8514235.07,8818331.9
Rede BomPreço,Varejo,2025-11,CMV,5534252.8,6358189.46
Rede BomPreço,Varejo,2025-11,Lucro Bruto,2979982.27,2460142.44
Rede BomPreço,Varejo,2025-11,Despesas Comerciais,681138.81,669651.67
Rede BomPreço,Varejo,2025-11,Despesas Administrativas,420000.0,409761.97
Rede BomPreço,Varejo,2025-11,EBITDA,1878843.47,1380728.8
Rede BomPreço,Varejo,2025-12,Receita Líquida,9507562.49,9681722.51
Rede BomPreço,Varejo,2025-12,CMV,6179915.62,6015975.72
Rede BomPreço,Varejo,2025-12,Lucro Bruto,3327646.87,3665746.79
Rede BomPreço,Varejo,2025-12,Despesas Comerciais,760605.0,761070.97
Rede BomPreço,Varejo,2025-12,Despesas Administrativas,420000.0,415932.98
Rede BomPreço,Varejo,2025-12,EBITDA,2147041.87,2488742.84
