competencia,clientes_inicio,novos_clientes,clientes_perdidos,clientes_fim,churn_rate,arpa,mrr,marketing,expansion_mrr,churn_mrr
2025-01,1200,96,31,1265,0.0266,720.0,910800.0,179072.97,18216.0,22994.8
2025-02,1265,90,28,1327,0.0229,723.6,960217.2,183254.98,19204.34,20972.75
2025-03,1327,88,33,1382,0.0255,727.22,1005015.28,184160.94,20100.31,24636.65
2025-04,1382,108,35,1455,0.0257,730.85,1063392.7,196715.25,21267.85,25942.57
2025-05,1455,95,32,1518,0.0224,734.51,1114983.69,178528.07,22299.67,23982.13
2025-06,1518,100,35,1583,0.0232,738.18,1168540.37,196416.93,23370.81,26028.2
2025-07,1583,98,36,1645,0.0228,741.87,1220379.12,178189.89,24407.58,26790.91
2025-08,1645,98,40,1703,0.0245,745.58,1269724.73,189807.73,25394.49,30063.51
2025-09,1703,57,114,1646,0.0674,749.31,1233362.73,314367.84,24667.25,85968.32
2025-10,1646,118,33,1731,0.0206,753.06,1303539.27,189138.81,26070.79,25532.9
2025-11,1731,118,37,1812,0.0217,756.82,1371359.46,216262.39,27427.19,28440.87
2025-12,1812,110,38,1884,0.0215,760.6,1432979.82,202869.64,28659.6,29611.39
